PDL;Energie;Fournisseur;N° de facture;Date de facture;Date de début;Date de fin;Etat de la facture;Total consommation;Total énergie facturée €;Total TURPE €;Total Taxes €;Total HTVA €;TVA - Taux réduit €;TVA - Taux normal €;TVA €;Total TTC €;Prix moyen kWh c€/kWh;CSPE €;Taux CSPE c€/kWh;CTA €;TCCFE €;Taux TCCFE c€/kWh;TDCFE €;Taux TDCFE c€/kWh;Consommation Base;Consommation HP;Consommation HC;Consommation HPB;Consommation HCB;Consommation HPH;Consommation HCH;Consommation Pointe;Energie facturée Base;Taux kWh Base c€/kWh;Energie facturée HP;Taux kWh HP c€/kWh;Energie facturée HC;Taux kWh HC c€/kWh;Energie facturée HPB;Taux kWh HPB c€/kWh;Energie facturée HCB;Taux kWh HCB c€/kWh;Energie facturée HPH;Taux kWh HPH c€/kWh;Energie facturée HCH;Taux kWh HCH c€/kWh;Energie facturée Pointe;Taux kWh Pointe c€/kWh;ENEDIS - Total TURPE €;ENEDIS - Total TURPE €CTA €;ENEDIS - Total TURPE €Total HTVA €;ENEDIS - Total TURPE €TVA €;ENEDIS - Total TURPE €Total TTC €
30002220763353;Electricité;EDF;10166116756;01/02/2023;08/01/2023;01/02/2023;Validée;16818;10599,97;;123,86;11261,4;;2252,27;2252,27;13513,67;66,22;123,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10180117601;22/08/2023;08/07/2023;22/08/2023;Validée;2835;875,96;191,24;31,47;839,46;;167,89;167,89;1007,35;28,5;2,83;;28,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10189141865;22/12/2023;08/11/2023;22/12/2023;Validée;27854;17807,87;1646,25;55,03;14772,78;;2954,55;2954,55;17727,33;52,84;27,85;;27,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10218892990;27/01/2025;08/12/2024;31/12/2024;Validée;4860;980,12;961,46;96,07;2119,03;;423,8;423,8;2542,83;41,63;102,06;;-5,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10191935806;29/01/2024;08/12/2023;31/12/2023;Validée;4947;3039,12;952;4,95;3182,2;;636,44;636,44;3818,64;64,23;4,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10213399888;14/11/2024;14/11/2024;;Validée;;;;;-224,02;;-44,8;-44,8;-268,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10197761258;17/04/2024;17/04/2024;;Validée;;;;;-979,63;;-195,93;-195,93;-1175,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10216593672;27/12/2024;01/01/2024;27/12/2024;Validée;149172;25446,02;7379,63;2939,63;37646,44;;7529,3;7529,3;45175,74;23,27;2601,9;;337,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10173470765;22/05/2023;08/04/2023;22/05/2023;Validée;12935;4011,72;435,35;37,3;3246,38;;649,26;649,26;3895,64;24,81;12,94;;24,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10165230556;18/01/2023;01/01/2023;07/01/2023;Validée;4709;2967,92;361,13;65,97;3555,95;;711,19;711,19;4267,14;74,11;35,93;;30,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10169276795;22/03/2023;08/02/2023;22/03/2023;Validée;24501;15097,62;1297,17;47,23;2710,91;;542,18;542,18;3253,09;10,87;24,5;;22,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10182361185;22/09/2023;08/08/2023;22/09/2023;Validée;3379;1055,36;197,15;31,46;969,39;;193,87;193,87;1163,26;27,76;3,38;;28,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10167213261;22/02/2023;08/01/2023;22/02/2023;Validée;26978;17089,57;1521,87;96,61;19554,51;;3910,91;3910,91;23465,42;72,13;71,44;;25,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10184587032;22/10/2023;08/09/2023;22/10/2023;Validée;8451;2661,9;268,42;35,63;2151,84;;430,36;430,36;2582,2;25,04;8,45;;27,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10175687061;22/06/2023;08/05/2023;22/06/2023;Validée;4840;1513,75;292,41;30,01;1378,82;;275,76;275,76;1654,58;27,87;4,84;;25,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10171358842;22/04/2023;08/03/2023;22/04/2023;Validée;17081;5993,59;946,14;42,25;5184,59;;1036,92;1036,92;6221,51;30,11;17,08;;25,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10177934327;22/07/2023;08/06/2023;22/07/2023;Validée;289;92,13;172,49;24,650002;275,11;;55,02;55,02;330,13;86,66;0,29;;24,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30002220763353;Electricité;EDF;10186832857;22/11/2023;08/10/2023;22/11/2023;Validée;20742;11076,75;635,62;48,82;8724,47;;1744,9;1744,9;10469,37;41,83;20,74;;28,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22239073776770;Electricité;EDF;10167413159;25/02/2023;02/01/2023;01/02/2023;Validée;449;230,21;29,67;4,89;278,22;0,48;53,91;54,39;332,61;60,88;3,33;;1,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22239073776770;Electricité;EDF;10172459193;08/05/2023;02/04/2023;01/05/2023;Annulée;283;82,58;11,04;2,01;73,95;0,75;12,05;12,8;86,75;25,42;0,28;;1,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22239073776770;Electricité;EDF;10174689289;08/06/2023;02/05/2023;01/06/2023;Annulée;198;58,11;9,87;1,88;55,84;0,73;8,49;9,22;65,06;27,25;0,2;;1,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22239073776770;Electricité;EDF;10189366483;25/12/2023;02/11/2023;01/12/2023;Validée;2220;1209,22;129,63;4,06;1034,51;0,78;204,04;204,82;1239,33;46,42;2,22;;1,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22239073776770;Electricité;EDF;10216593672;27/12/2024;01/01/2024;01/12/2024;Validée;4516;677,12;266;100,38;1142,06;9,45;193,96;203,41;1345,47;23,07;78,52;;21,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22239073776770;Electricité;EDF;10218892990;27/01/2025;02/12/2024;31/12/2024;Validée;304;57,13;17,11;6,32;85,94;-0,01;17,23;17,22;103,16;26,19;6,38;;-0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22239073776770;Electricité;EDF;10191944207;29/01/2024;02/12/2023;31/12/2023;Validée;1120;602,96;61;1,12;509,15;;101,83;101,83;610,98;45,36;1,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
