"Groupe";"Adresse";"Surface (m2)";"PDL (Electricité)"
"Centre d'accueil";"28/30 RUE CHAMPLOUIS 91100 CORBEIL-ESSONNES";"852";"22294934847614"
"Espace Carnot";"75 AVENUE CARNOT 91100 CORBEIL-ESSONNES";"832";"22296671441959"
"Hôtel de Ville";"2 PLACE GALIGNANI 91100 CORBEIL-ESSONNES";"3560";"30002221351188"
"Mairie de quartier Moulin Galant";"29 GRANDE RUE 91100 CORBEIL-ESSONNES";"41";"22201447169998"
"NCA";"28 AVENUE DE CHANTEMERLE 91100 CORBEIL-ESSONNES";"6402";"50040765096839"
"Police Municipale";"39 BD GEORGES MICHEL 91100 CORBEIL-ESSONNES";"495";"22201012995398"
"Service jeunesse (ancienne CAF)";"15 RUE FERAY 91100 CORBEIL-ESSONNES";"325";"22299421099450"
"ABC d'ici et d'ailleurs";"2 PLACE VAILLANT COUTURIER 91100 CORBEIL-ESSONNES";"55";""
"Actives";"4 RUE AUGUSTE RENOIR 91100 CORBEIL-ESSONNES";"120";""
"Association originaire Portugal (AOP)";"98 BD DE FONTAINEBLEAU 91100 CORBEIL-ESSONNES";"636";"22231982604572"
"Association Paceb";"107 BD JOHN KENNEDY 91100 CORBEIL-ESSONNES";"";"22266425419409"
"Baragouinage";"12 RUE LEOPOLD VENDRIES 91100 CORBEIL-ESSONNES";"38,59";"22221707640732"
"Casa de Espana";"2 PLACE VAILLANT COUTURIER 91100 CORBEIL-ESSONNES";"84";""
"Cercle des naturalistes";"1-3 RUE BERNARDIN DE ST PIERRE 91100 CORBEIL-ESSONNES";"130";""
"Comité d'entente des anciens combattants";"MAISON DE L'ARQUEBUSE 91100 CORBEIL-ESSONNES";"150";"22211722112527"
"Corbeil Project";"2 PLACE VAILLANT COUTURIER 91100 CORBEIL-ESSONNES";"";""
"Croix Rouge";"100 BD DE FONTAINEBLEAU 91100 CORBEIL-ESSONNES";"";"22232416757920"
"Culture et loisirs pour tous";"3 RUE ABELARD 91100 CORBEIL-ESSONNES";"163";"22258465940980"
"Entraide et solidarité";"15 AVENUE STRATHKELVIN 91100 CORBEIL-ESSONNES";"43";""
"Espoir Jeunesse";"47 RUE DU 14 JUILLET 91100 CORBEIL-ESSONNES";"28,6";""
"foyer personnes agées";"6 RUE LÉOPOLD VENDRIES 91100 CORBEIL-ESSONNES";"";"22221562922974"
"Foyer senior";"37 RUE GUSTAVE COURBET 91100 CORBEIL-ESSONNES";"";"22284659911121"
"Génération 91";"32 RUE GUSTAVE COURBET 91100 CORBEIL-ESSONNES";"664";"30002220716008"
"Groupement des donneurs de sang";"15 RUE NOTRE DAME 91100 CORBEIL-ESSONNES";"386,37";"22296816179055"
"Maison des associations Tarterêts";"15 AVENUE STRATHKELVIN 91100 CORBEIL-ESSONNES";"855";"50082923245379"
"MDA des Tarterêts";"9 AVENUE STRATHKELVIN 91100 CORBEIL-ESSONNES";"0";"50082923245379"
"Pavillon - vie associative";"38 RUE CHAMPLOUIS 91100 CORBEIL-ESSONNES";"";"22207380578511"
"Riverains de Robinson ";"6 RUE FERNAND LAGUIDE 91100 CORBEIL-ESSONNES";"72";""
"Robinson fait son panier";"6 RUE FERNAND LAGUIDE 91100 CORBEIL-ESSONNES";"72";""
"Sagacite";"72 BLD HENRI DUNANT 91100 CORBEIL-ESSONNES";"52";""
"Secours Catholique";"15 RUE NOTRE DAME 91100 CORBEIL-ESSONNES";"90,63";"22296816179055"
"Union Départementale C.F.D.T de l'Essonne";"15 AVENUE DE STRATHKELVIN 91100 CORBEIL-ESSONNES";"20,09";""
"Union locale des syndicats C.F.T.C";"15 AVENUE DE STRATHKELVIN 91100 CORBEIL-ESSONNES";"20";""
"Union locale des syndicats C.G.T";"15 AVENUE DE STRATHKELVIN 91100 CORBEIL-ESSONNES";"56,3";""
"Union locale des syndicats F.O";"15 AVENUE DE STRATHKELVIN 91100 CORBEIL-ESSONNES";"19,15";""
"Voisins Moulin-Galant";"2 RUE RAYMOND BRUNOT 91100 CORBEIL-ESSONNES";"70";"22238350187704"
"Accueil périscolaire Les Mozards";"4 RUE AUGUSTE RENOIR 91100 CORBEIL-ESSONNES";"120";"22291172184804"
"Centre de loisirs + cantine Henri Wallon";"21/23 RUE MARCHAND 91100 CORBEIL-ESSONNES";"1669";"30002220795513"
"Centre de loisirs + cantine Théodore Steeg";"20 RUE PAUL BERT 91100 CORBEIL-ESSONNES";"950";"30002220784058"
"Centre de loisirs élémentaire Petit Louis";"66 RUE SAINT SPIRE 91100 CORBEIL-ESSONNES";"1000";"22212445701593"
"Centre de loisirs l’Indienne";"24 AVENUE CHANTEMERLE 91100 CORBEIL-ESSONNES";"2672";"30002220614415"
"Centre de loisirs La source les petits loups";"78 BOULEVARD HENRI DUNANT 91100 CORBEIL-ESSONNES";"208";"50005464128433"
"Centre de loisirs Villededon";"RUE DU PORT AU SABLONVILLEDEDON 91100 CORBEIL-ESSONNES";"962";"30002220528679"
"Cathédrale saint Spire";"CLOÎTRE SAINT SPIRE 91100 CORBEIL-ESSONNES";"1268";""
"Cimetière de Corbeil (Tarterêts)";"RUE LAFAYETTE 91100 CORBEIL-ESSONNES";"227";"22288133111064"
"Cimetière d'Essonnes";"100 BD DE FONTAINEBLEAU 91100 CORBEIL-ESSONNES";"585";"22232127322356"
"Église saint Etienne";"12 PLACE LÉON CASSÉ 91100 CORBEIL-ESSONNES";"920";""
"Presbytère d'Essonnes";"7 RUE PAUL DOUMER 91100 CORBEIL-ESSONNES";"534";"22203039005558"
"ancienne Galerie d'art (en vente)";"36 RUE SAINT SPIRE 91100 CORBEIL-ESSONNES";"44";"22256584609567"
"Commanderie saint Jean";"24 RUE WIDMER 91100 CORBEIL-ESSONNES";"470";"30002220283541"
"Conservatoire";"1 PLACE D'ESSONNES 91100 CORBEIL-ESSONNES";"1320";"30002220293779"
